00000,0000000000000001
00001,000000136b06e70b
00002,20000026d60dce16
00003,2000003a4114b521
00004,0000004dac1b9c2c
00005,1000006117228338
00006,2000007482296a43
00007,00000087ed30514e
00008,1000009b58373859
00009,200000c22e450670
0000a,000000c22e450670
0000b,100001845c8a0ce0
0000c,200001845c8a0ce0
0000d,000001845c8a0ce0
0000e,100001845c8a0ce0
0000f,200001845c8a0ce0
00010,000003cae7592030
00011,0000004000000000
00012,0000400000000000
00013,0000003600000064
00014,0000000100001c84
00015,0000000800001ce8
00016,0000000100001d4c
00017,0000008000001d88
00018,0000000900001f40
